"Gene","miRNA","Drug"
"AARS2","hsa-mir-598","glycine"
"ABCA1","hsa-mir-23c","metoprolol"
"ABCA1","hsa-mir-23c","fenofibrate"
"ABCA1","hsa-mir-23c","fluvastatin"
"ABCA1","hsa-mir-23c","atorvastatin"
"ABCB7","hsa-mir-580","carbamazepine"
"ABCG2","hsa-mir-133b","doxorubicin"
"ABCG2","hsa-mir-133b","carbamazepine"
"ABCG2","hsa-mir-133b","glibenclamide"
"ABCG2","hsa-mir-133b","paclitaxel"
"ABCG2","hsa-mir-133b","cyclophosphamide"
"ABCG2","hsa-mir-133b","docetaxel"
"ABCG2","hsa-mir-133b","vincristine"
"ABCG2","hsa-mir-133b","etoposide"
"ABCG2","hsa-mir-133b","topotecan"
"ABCG2","hsa-mir-133b","metformin"
"ABCG2","hsa-mir-133b","fluvastatin"
"ABCG2","hsa-mir-133b","pravastatin"
"ABCG2","hsa-mir-133b","gemcitabine"
"ABCG2","hsa-mir-133b","tacrolimus"
"ABCG2","hsa-mir-133b","methotrexate"
"ABCG2","hsa-mir-133b","irinotecan"
"ABCG2","hsa-mir-133b","leucovorin"
"ABCG2","hsa-mir-133b","cytarabine"
"ABCG2","hsa-mir-133b","atorvastatin"
"ABCG2","hsa-mir-133b","imatinib"
"ABCG2","hsa-mir-133b","digoxin"
"ABCG2","hsa-mir-133b","mitoxantrone"
"ABCG2","hsa-mir-133b","cisplatin"
"ABCG2","hsa-mir-6824","doxorubicin"
"ABCG2","hsa-mir-6824","carbamazepine"
"ABCG2","hsa-mir-6824","glibenclamide"
"ABCG2","hsa-mir-6824","paclitaxel"
"ABCG2","hsa-mir-6824","cyclophosphamide"
"ABCG2","hsa-mir-6824","docetaxel"
"ABCG2","hsa-mir-6824","vincristine"
"ABCG2","hsa-mir-6824","etoposide"
"ABCG2","hsa-mir-6824","topotecan"
"ABCG2","hsa-mir-6824","metformin"
"ABCG2","hsa-mir-6824","fluvastatin"
"ABCG2","hsa-mir-6824","pravastatin"
"ABCG2","hsa-mir-6824","gemcitabine"
"ABCG2","hsa-mir-6824","tacrolimus"
"ABCG2","hsa-mir-6824","methotrexate"
"ABCG2","hsa-mir-6824","irinotecan"
"ABCG2","hsa-mir-6824","leucovorin"
"ABCG2","hsa-mir-6824","cytarabine"
"ABCG2","hsa-mir-6824","atorvastatin"
"ABCG2","hsa-mir-6824","imatinib"
"ABCG2","hsa-mir-6824","digoxin"
"ABCG2","hsa-mir-6824","mitoxantrone"
"ABCG2","hsa-mir-6824","cisplatin"
"ACAT2","hsa-mir-542","clozapine"
"ACOX1","hsa-mir-30b","fenofibrate"
"ACOX1","hsa-mir-30d","fenofibrate"
"ACP2","hsa-mir-5091","methotrexate"
"ACTB","hsa-mir-2355","prednisolone"
"ACTB","hsa-mir-2355","budesonide"
"ACTB","hsa-mir-2355","triamcinolone"
"ACTB","hsa-mir-2355","methylprednisolone"
"ACTB","hsa-mir-2355","beclomethasone"
"ACTB","hsa-mir-2355","dexamethasone"
"ACTB","hsa-mir-2355","hydrocortisone"
"ACTB","hsa-mir-2355","desonide"
"ACTB","hsa-mir-2355","prednisone"
"ACTB","hsa-mir-2355","flunisolide"
"ADCY3","hsa-mir-92b","salmeterol"
"ADCY7","hsa-mir-1260b","salmeterol"
"ADCY7","hsa-mir-449b","salmeterol"
"ADCY7","hsa-mir-6837","salmeterol"
"ADCY7","hsa-mir-1248","salmeterol"
"ADCY7","hsa-mir-3680-1","salmeterol"
"ADCY9","hsa-mir-5581","isoproterenol"
"ADCY9","hsa-mir-5581","salmeterol"
"ADCYAP1","hsa-mir-3150a","adenosine"
"ADIPOR2","hsa-mir-4651","pioglitazone"
"ADIPOR2","hsa-mir-484","pioglitazone"
"ADK","hsa-mir-6501","adenosine"
"ADORA1","hsa-mir-887","adenosine"
"ADORA1","hsa-mir-887","methotrexate"
"ADORA1","hsa-mir-887","theophylline"
"ADORA1","hsa-mir-887","estradiol"
"ADORA1","hsa-mir-887","caffeine"
"ADORA2A","hsa-mir-7705","caffeine"
"ADORA2A","hsa-mir-7705","methotrexate"
"ADORA2A","hsa-mir-7705","theophylline"
"ADORA2A","hsa-mir-7705","adenosine"
