"Gene","miRNA","Drug"
"AAK1","hsa-mir-3936","vincristine"
"AARS2","hsa-mir-148b","glycine"
"ABCB1","hsa-mir-449a","pentazocine"
"ABCB1","hsa-mir-449a","carbamazepine"
"ABCB1","hsa-mir-449a","vinblastine"
"ABCB1","hsa-mir-449a","cerivastatin"
"ABCB1","hsa-mir-449a","budesonide"
"ABCB1","hsa-mir-449a","quinidine"
"ABCB1","hsa-mir-449a","acetaminophen"
"ABCB1","hsa-mir-449a","oxaliplatin"
"ABCB1","hsa-mir-449a","methotrexate"
"ABCB1","hsa-mir-449a","losartan"
"ABCB1","hsa-mir-449a","azithromycin"
"ABCB1","hsa-mir-449a","dipyridamole"
"ABCB1","hsa-mir-449a","vincristine"
"ABCB1","hsa-mir-449a","itraconazole"
"ABCB1","hsa-mir-449a","venlafaxine"
"ABCB1","hsa-mir-449a","leucovorin"
"ABCB1","hsa-mir-449a","fexofenadine"
"ABCB1","hsa-mir-449a","clonazepam"
"ABCB1","hsa-mir-449a","dicloxacillin"
"ABCB1","hsa-mir-449a","ketoconazole"
"ABCB1","hsa-mir-449a","cytarabine"
"ABCB1","hsa-mir-449a","chlorpromazine"
"ABCB1","hsa-mir-449a","celiprolol"
"ABCB1","hsa-mir-449a","methylprednisolone"
"ABCB1","hsa-mir-449a","clobazam"
"ABCB1","hsa-mir-449a","topiramate"
"ABCB1","hsa-mir-449a","nevirapine"
"ABCB1","hsa-mir-449a","clozapine"
"ABCB1","hsa-mir-449a","phenobarbital"
"ABCB1","hsa-mir-449a","amitriptyline"
"ABCB1","hsa-mir-449a","fluvastatin"
"ABCB1","hsa-mir-449a","azathioprine"
"ABCB1","hsa-mir-449a","amlodipine"
"ABCB1","hsa-mir-449a","olanzapine"
"ABCB1","hsa-mir-449a","colchicine"
"ABCB1","hsa-mir-449a","glibenclamide"
"ABCB1","hsa-mir-449a","lamotrigine"
"ABCB1","hsa-mir-449a","abacavir"
"ABCB1","hsa-mir-449a","methadone"
"ABCB1","hsa-mir-449a","disulfiram"
"ABCB1","hsa-mir-449a","chlorambucil"
"ABCB1","hsa-mir-449a","hydroxyurea"
"ABCB1","hsa-mir-449a","atorvastatin"
"ABCB1","hsa-mir-449a","dextromethorphan"
"ABCB1","hsa-mir-449a","docetaxel"
"ABCB1","hsa-mir-449a","fluconazole"
"ABCB1","hsa-mir-449a","cimetidine"
"ABCB1","hsa-mir-449a","sertraline"
"ABCB1","hsa-mir-449a","midazolam"
"ABCB1","hsa-mir-449a","sparfloxacin"
"ABCB1","hsa-mir-449a","progesterone"
"ABCB1","hsa-mir-449a","tamoxifen"
"ABCB1","hsa-mir-449a","probenecid"
"ABCB1","hsa-mir-449a","lovastatin"
"ABCB1","hsa-mir-449a","loperamide"
"ABCB1","hsa-mir-449a","ranitidine"
"ABCB1","hsa-mir-449a","diltiazem"
"ABCB1","hsa-mir-449a","morphine"
"ABCB1","hsa-mir-449a","paroxetine"
"ABCB1","hsa-mir-449a","nicardipine"
"ABCB1","hsa-mir-449a","mitoxantrone"
"ABCB1","hsa-mir-449a","fluoxetine"
"ABCB1","hsa-mir-449a","paclitaxel"
"ABCB1","hsa-mir-449a","topotecan"
"ABCB1","hsa-mir-449a","bepridil"
"ABCB1","hsa-mir-449a","gabapentin"
"ABCB1","hsa-mir-449a","indinavir"
"ABCB1","hsa-mir-449a","caffeine"
"ABCB1","hsa-mir-449a","teniposide"
"ABCB1","hsa-mir-449a","hydrocortisone"
"ABCB1","hsa-mir-449a","nelfinavir"
"ABCB1","hsa-mir-449a","lansoprazole"
"ABCB1","hsa-mir-449a","oxycodone"
"ABCB1","hsa-mir-449a","cisplatin"
"ABCB1","hsa-mir-449a","idarubicin"
"ABCB1","hsa-mir-449a","gemcitabine"
"ABCB1","hsa-mir-449a","prazosin"
"ABCB1","hsa-mir-449a","codeine"
"ABCB1","hsa-mir-449a","gemfibrozil"
"ABCB1","hsa-mir-449a","pantoprazole"
"ABCB1","hsa-mir-449a","digoxin"
"ABCB1","hsa-mir-449a","amiodarone"
"ABCB1","hsa-mir-449a","ondansetron"
"ABCB1","hsa-mir-449a","melphalan"
"ABCB1","hsa-mir-449a","nortriptyline"
"ABCB1","hsa-mir-449a","irinotecan"
"ABCB1","hsa-mir-449a","amprenavir"
"ABCB1","hsa-mir-449a","bromocriptine"
"ABCB1","hsa-mir-449a","metformin"
"ABCB1","hsa-mir-449a","mefloquine"
"ABCB1","hsa-mir-449a","citalopram"
"ABCB1","hsa-mir-449a","phenytoin"
"ABCB1","hsa-mir-449a","etoposide"
"ABCB1","hsa-mir-449a","prednisone"
"ABCB1","hsa-mir-449a","doxorubicin"
"ABCB1","hsa-mir-449a","felodipine"
"ABCB1","hsa-mir-449a","omeprazole"
"ABCB1","hsa-mir-449a","clotrimazole"
"ABCB1","hsa-mir-449a","pravastatin"
"ABCB1","hsa-mir-449a","clopidogrel"
"ABCB1","hsa-mir-449a","efavirenz"
"ABCB1","hsa-mir-449a","domperidone"
"ABCB1","hsa-mir-449a","fentanyl"
"ABCB1","hsa-mir-449a","granisetron"
"ABCB1","hsa-mir-449a","erythromycin"
"ABCB1","hsa-mir-449a","carvedilol"
"ABCB1","hsa-mir-449a","propranolol"
"ABCB1","hsa-mir-449a","cyclophosphamide"
"ABCB1","hsa-mir-449a","mitomycin"
"ABCB1","hsa-mir-449a","tacrolimus"
"ABCB1","hsa-mir-449a","imatinib"
"ABCB1","hsa-mir-449a","dexamethasone"
"ABCB1","hsa-mir-449a","tetrabenazine"
"ABCB1","hsa-mir-449a","testosterone"
"ABCB1","hsa-mir-449a","oseltamivir"
"ABCB1","hsa-mir-92b","pentazocine"
"ABCB1","hsa-mir-92b","carbamazepine"
"ABCB1","hsa-mir-92b","vinblastine"
"ABCB1","hsa-mir-92b","cerivastatin"
"ABCB1","hsa-mir-92b","budesonide"
"ABCB1","hsa-mir-92b","quinidine"
"ABCB1","hsa-mir-92b","acetaminophen"
"ABCB1","hsa-mir-92b","oxaliplatin"
"ABCB1","hsa-mir-92b","methotrexate"
"ABCB1","hsa-mir-92b","losartan"
"ABCB1","hsa-mir-92b","azithromycin"
"ABCB1","hsa-mir-92b","dipyridamole"
"ABCB1","hsa-mir-92b","vincristine"
"ABCB1","hsa-mir-92b","itraconazole"
"ABCB1","hsa-mir-92b","venlafaxine"
"ABCB1","hsa-mir-92b","leucovorin"
"ABCB1","hsa-mir-92b","fexofenadine"
"ABCB1","hsa-mir-92b","clonazepam"
"ABCB1","hsa-mir-92b","dicloxacillin"
"ABCB1","hsa-mir-92b","ketoconazole"
"ABCB1","hsa-mir-92b","cytarabine"
"ABCB1","hsa-mir-92b","chlorpromazine"
"ABCB1","hsa-mir-92b","celiprolol"
"ABCB1","hsa-mir-92b","methylprednisolone"
"ABCB1","hsa-mir-92b","clobazam"
"ABCB1","hsa-mir-92b","topiramate"
"ABCB1","hsa-mir-92b","nevirapine"
"ABCB1","hsa-mir-92b","clozapine"
"ABCB1","hsa-mir-92b","phenobarbital"
"ABCB1","hsa-mir-92b","amitriptyline"
"ABCB1","hsa-mir-92b","fluvastatin"
"ABCB1","hsa-mir-92b","azathioprine"
"ABCB1","hsa-mir-92b","amlodipine"
"ABCB1","hsa-mir-92b","olanzapine"
"ABCB1","hsa-mir-92b","colchicine"
"ABCB1","hsa-mir-92b","glibenclamide"
"ABCB1","hsa-mir-92b","lamotrigine"
"ABCB1","hsa-mir-92b","abacavir"
"ABCB1","hsa-mir-92b","methadone"
"ABCB1","hsa-mir-92b","disulfiram"
"ABCB1","hsa-mir-92b","chlorambucil"
"ABCB1","hsa-mir-92b","hydroxyurea"
"ABCB1","hsa-mir-92b","atorvastatin"
"ABCB1","hsa-mir-92b","dextromethorphan"
"ABCB1","hsa-mir-92b","docetaxel"
"ABCB1","hsa-mir-92b","fluconazole"
"ABCB1","hsa-mir-92b","cimetidine"
"ABCB1","hsa-mir-92b","sertraline"
"ABCB1","hsa-mir-92b","midazolam"
"ABCB1","hsa-mir-92b","sparfloxacin"
"ABCB1","hsa-mir-92b","progesterone"
"ABCB1","hsa-mir-92b","tamoxifen"
"ABCB1","hsa-mir-92b","probenecid"
"ABCB1","hsa-mir-92b","lovastatin"
"ABCB1","hsa-mir-92b","loperamide"
"ABCB1","hsa-mir-92b","ranitidine"
"ABCB1","hsa-mir-92b","diltiazem"
"ABCB1","hsa-mir-92b","morphine"
"ABCB1","hsa-mir-92b","paroxetine"
"ABCB1","hsa-mir-92b","nicardipine"
"ABCB1","hsa-mir-92b","mitoxantrone"
"ABCB1","hsa-mir-92b","fluoxetine"
"ABCB1","hsa-mir-92b","paclitaxel"
"ABCB1","hsa-mir-92b","topotecan"
"ABCB1","hsa-mir-92b","bepridil"
"ABCB1","hsa-mir-92b","gabapentin"
"ABCB1","hsa-mir-92b","indinavir"
"ABCB1","hsa-mir-92b","caffeine"
"ABCB1","hsa-mir-92b","teniposide"
"ABCB1","hsa-mir-92b","hydrocortisone"
"ABCB1","hsa-mir-92b","nelfinavir"
"ABCB1","hsa-mir-92b","lansoprazole"
"ABCB1","hsa-mir-92b","oxycodone"
"ABCB1","hsa-mir-92b","cisplatin"
"ABCB1","hsa-mir-92b","idarubicin"
"ABCB1","hsa-mir-92b","gemcitabine"
"ABCB1","hsa-mir-92b","prazosin"
"ABCB1","hsa-mir-92b","codeine"
"ABCB1","hsa-mir-92b","gemfibrozil"
"ABCB1","hsa-mir-92b","pantoprazole"
"ABCB1","hsa-mir-92b","digoxin"
"ABCB1","hsa-mir-92b","amiodarone"
"ABCB1","hsa-mir-92b","ondansetron"
"ABCB1","hsa-mir-92b","melphalan"
"ABCB1","hsa-mir-92b","nortriptyline"
"ABCB1","hsa-mir-92b","irinotecan"
"ABCB1","hsa-mir-92b","amprenavir"
"ABCB1","hsa-mir-92b","bromocriptine"
"ABCB1","hsa-mir-92b","metformin"
"ABCB1","hsa-mir-92b","mefloquine"
"ABCB1","hsa-mir-92b","citalopram"
"ABCB1","hsa-mir-92b","phenytoin"
"ABCB1","hsa-mir-92b","etoposide"
"ABCB1","hsa-mir-92b","prednisone"
"ABCB1","hsa-mir-92b","doxorubicin"
"ABCB1","hsa-mir-92b","felodipine"
"ABCB1","hsa-mir-92b","omeprazole"
"ABCB1","hsa-mir-92b","clotrimazole"
"ABCB1","hsa-mir-92b","pravastatin"
"ABCB1","hsa-mir-92b","clopidogrel"
"ABCB1","hsa-mir-92b","efavirenz"
"ABCB1","hsa-mir-92b","domperidone"
"ABCB1","hsa-mir-92b","fentanyl"
"ABCB1","hsa-mir-92b","granisetron"
"ABCB1","hsa-mir-92b","erythromycin"
"ABCB1","hsa-mir-92b","carvedilol"
"ABCB1","hsa-mir-92b","propranolol"
"ABCB1","hsa-mir-92b","cyclophosphamide"
"ABCB1","hsa-mir-92b","mitomycin"
"ABCB1","hsa-mir-92b","tacrolimus"
"ABCB1","hsa-mir-92b","imatinib"
"ABCB1","hsa-mir-92b","dexamethasone"
"ABCB1","hsa-mir-92b","tetrabenazine"
"ABCB1","hsa-mir-92b","testosterone"
"ABCB1","hsa-mir-92b","oseltamivir"
"ABCB1","hsa-mir-181d","pentazocine"
"ABCB1","hsa-mir-181d","carbamazepine"
"ABCB1","hsa-mir-181d","vinblastine"
"ABCB1","hsa-mir-181d","cerivastatin"
"ABCB1","hsa-mir-181d","budesonide"
"ABCB1","hsa-mir-181d","quinidine"
"ABCB1","hsa-mir-181d","acetaminophen"
"ABCB1","hsa-mir-181d","oxaliplatin"
"ABCB1","hsa-mir-181d","methotrexate"
"ABCB1","hsa-mir-181d","losartan"
"ABCB1","hsa-mir-181d","azithromycin"
"ABCB1","hsa-mir-181d","dipyridamole"
"ABCB1","hsa-mir-181d","vincristine"
"ABCB1","hsa-mir-181d","itraconazole"
"ABCB1","hsa-mir-181d","venlafaxine"
"ABCB1","hsa-mir-181d","leucovorin"
"ABCB1","hsa-mir-181d","fexofenadine"
"ABCB1","hsa-mir-181d","clonazepam"
"ABCB1","hsa-mir-181d","dicloxacillin"
"ABCB1","hsa-mir-181d","ketoconazole"
"ABCB1","hsa-mir-181d","cytarabine"
"ABCB1","hsa-mir-181d","chlorpromazine"
"ABCB1","hsa-mir-181d","celiprolol"
"ABCB1","hsa-mir-181d","methylprednisolone"
"ABCB1","hsa-mir-181d","clobazam"
"ABCB1","hsa-mir-181d","topiramate"
"ABCB1","hsa-mir-181d","nevirapine"
"ABCB1","hsa-mir-181d","clozapine"
"ABCB1","hsa-mir-181d","phenobarbital"
"ABCB1","hsa-mir-181d","amitriptyline"
"ABCB1","hsa-mir-181d","fluvastatin"
"ABCB1","hsa-mir-181d","azathioprine"
"ABCB1","hsa-mir-181d","amlodipine"
"ABCB1","hsa-mir-181d","olanzapine"
"ABCB1","hsa-mir-181d","colchicine"
"ABCB1","hsa-mir-181d","glibenclamide"
"ABCB1","hsa-mir-181d","lamotrigine"
"ABCB1","hsa-mir-181d","abacavir"
"ABCB1","hsa-mir-181d","methadone"
"ABCB1","hsa-mir-181d","disulfiram"
"ABCB1","hsa-mir-181d","chlorambucil"
"ABCB1","hsa-mir-181d","hydroxyurea"
"ABCB1","hsa-mir-181d","atorvastatin"
"ABCB1","hsa-mir-181d","dextromethorphan"
"ABCB1","hsa-mir-181d","docetaxel"
"ABCB1","hsa-mir-181d","fluconazole"
"ABCB1","hsa-mir-181d","cimetidine"
"ABCB1","hsa-mir-181d","sertraline"
"ABCB1","hsa-mir-181d","midazolam"
"ABCB1","hsa-mir-181d","sparfloxacin"
"ABCB1","hsa-mir-181d","progesterone"
"ABCB1","hsa-mir-181d","tamoxifen"
"ABCB1","hsa-mir-181d","probenecid"
"ABCB1","hsa-mir-181d","lovastatin"
"ABCB1","hsa-mir-181d","loperamide"
"ABCB1","hsa-mir-181d","ranitidine"
"ABCB1","hsa-mir-181d","diltiazem"
"ABCB1","hsa-mir-181d","morphine"
"ABCB1","hsa-mir-181d","paroxetine"
"ABCB1","hsa-mir-181d","nicardipine"
"ABCB1","hsa-mir-181d","mitoxantrone"
"ABCB1","hsa-mir-181d","fluoxetine"
"ABCB1","hsa-mir-181d","paclitaxel"
"ABCB1","hsa-mir-181d","topotecan"
"ABCB1","hsa-mir-181d","bepridil"
"ABCB1","hsa-mir-181d","gabapentin"
"ABCB1","hsa-mir-181d","indinavir"
"ABCB1","hsa-mir-181d","caffeine"
"ABCB1","hsa-mir-181d","teniposide"
