"Gene","miRNA","Drug"
"ABCB1","hsa-mir-320b-2","cisplatin"
"ABCB1","hsa-mir-320b-2","budesonide"
"ABCB1","hsa-mir-320b-2","ketoconazole"
"ABCB1","hsa-mir-320b-2","oxycodone"
"ABCB1","hsa-mir-320b-2","methotrexate"
"ABCB1","hsa-mir-320b-2","vinblastine"
"ABCB1","hsa-mir-320b-2","diltiazem"
"ABCB1","hsa-mir-320b-2","azithromycin"
"ABCB1","hsa-mir-320b-2","losartan"
"ABCB1","hsa-mir-320b-2","leucovorin"
"ABCB1","hsa-mir-320b-2","methadone"
"ABCB1","hsa-mir-320b-2","gemfibrozil"
"ABCB1","hsa-mir-320b-2","erythromycin"
"ABCB1","hsa-mir-320b-2","morphine"
"ABCB1","hsa-mir-320b-2","melphalan"
"ABCB1","hsa-mir-320b-2","propranolol"
"ABCB1","hsa-mir-320b-2","itraconazole"
"ABCB1","hsa-mir-320b-2","abacavir"
"ABCB1","hsa-mir-320b-2","tamoxifen"
"ABCB1","hsa-mir-320b-2","oxaliplatin"
"ABCB1","hsa-mir-320b-2","topiramate"
"ABCB1","hsa-mir-320b-2","paroxetine"
"ABCB1","hsa-mir-320b-2","lovastatin"
"ABCB1","hsa-mir-320b-2","nortriptyline"
"ABCB1","hsa-mir-320b-2","mitoxantrone"
"ABCB1","hsa-mir-320b-2","imatinib"
"ABCB1","hsa-mir-320b-2","methylprednisolone"
"ABCB1","hsa-mir-320b-2","venlafaxine"
"ABCB1","hsa-mir-320b-2","amitriptyline"
"ABCB1","hsa-mir-320b-2","probenecid"
"ABCB1","hsa-mir-320b-2","cimetidine"
"ABCB1","hsa-mir-320b-2","amlodipine"
"ABCB1","hsa-mir-320b-2","azathioprine"
"ABCB1","hsa-mir-320b-2","nicardipine"
"ABCB1","hsa-mir-320b-2","clopidogrel"
"ABCB1","hsa-mir-320b-2","citalopram"
"ABCB1","hsa-mir-320b-2","bepridil"
"ABCB1","hsa-mir-320b-2","pantoprazole"
"ABCB1","hsa-mir-320b-2","irinotecan"
"ABCB1","hsa-mir-320b-2","etoposide"
"ABCB1","hsa-mir-320b-2","granisetron"
"ABCB1","hsa-mir-320b-2","ondansetron"
"ABCB1","hsa-mir-320b-2","felodipine"
"ABCB1","hsa-mir-320b-2","efavirenz"
"ABCB1","hsa-mir-320b-2","nevirapine"
"ABCB1","hsa-mir-320b-2","fluconazole"
"ABCB1","hsa-mir-320b-2","bromocriptine"
"ABCB1","hsa-mir-320b-2","atorvastatin"
"ABCB1","hsa-mir-320b-2","clonazepam"
"ABCB1","hsa-mir-320b-2","carbamazepine"
"ABCB1","hsa-mir-320b-2","fluoxetine"
"ABCB1","hsa-mir-320b-2","olanzapine"
"ABCB1","hsa-mir-320b-2","vincristine"
"ABCB1","hsa-mir-320b-2","chlorambucil"
"ABCB1","hsa-mir-320b-2","caffeine"
"ABCB1","hsa-mir-320b-2","celiprolol"
"ABCB1","hsa-mir-320b-2","phenobarbital"
"ABCB1","hsa-mir-320b-2","hydroxyurea"
"ABCB1","hsa-mir-320b-2","ranitidine"
"ABCB1","hsa-mir-320b-2","pravastatin"
"ABCB1","hsa-mir-320b-2","nelfinavir"
"ABCB1","hsa-mir-320b-2","doxorubicin"
"ABCB1","hsa-mir-320b-2","mitomycin"
"ABCB1","hsa-mir-320b-2","chlorpromazine"
"ABCB1","hsa-mir-320b-2","lamotrigine"
"ABCB1","hsa-mir-320b-2","topotecan"
"ABCB1","hsa-mir-320b-2","sparfloxacin"
"ABCB1","hsa-mir-320b-2","clobazam"
"ABCB1","hsa-mir-320b-2","amiodarone"
"ABCB1","hsa-mir-320b-2","gabapentin"
"ABCB1","hsa-mir-320b-2","omeprazole"
"ABCB1","hsa-mir-320b-2","mefloquine"
"ABCB1","hsa-mir-320b-2","clozapine"
"ABCB1","hsa-mir-320b-2","dicloxacillin"
"ABCB1","hsa-mir-320b-2","dextromethorphan"
"ABCB1","hsa-mir-320b-2","lansoprazole"
"ABCB1","hsa-mir-320b-2","cerivastatin"
"ABCB1","hsa-mir-320b-2","domperidone"
"ABCB1","hsa-mir-320b-2","colchicine"
"ABCB1","hsa-mir-320b-2","tetrabenazine"
"ABCB1","hsa-mir-320b-2","amprenavir"
"ABCB1","hsa-mir-320b-2","progesterone"
"ABCB1","hsa-mir-320b-2","teniposide"
"ABCB1","hsa-mir-320b-2","indinavir"
"ABCB1","hsa-mir-320b-2","cyclophosphamide"
"ABCB1","hsa-mir-320b-2","cytarabine"
"ABCB1","hsa-mir-320b-2","hydrocortisone"
"ABCB1","hsa-mir-320b-2","clotrimazole"
"ABCB1","hsa-mir-320b-2","metformin"
"ABCB1","hsa-mir-320b-2","tacrolimus"
"ABCB1","hsa-mir-320b-2","acetaminophen"
"ABCB1","hsa-mir-320b-2","pentazocine"
"ABCB1","hsa-mir-320b-2","fluvastatin"
"ABCB1","hsa-mir-320b-2","oseltamivir"
"ABCB1","hsa-mir-320b-2","disulfiram"
"ABCB1","hsa-mir-320b-2","prazosin"
"ABCB1","hsa-mir-320b-2","docetaxel"
"ABCB1","hsa-mir-320b-2","phenytoin"
"ABCB1","hsa-mir-320b-2","paclitaxel"
"ABCB1","hsa-mir-320b-2","sertraline"
"ABCB1","hsa-mir-320b-2","gemcitabine"
"ABCB1","hsa-mir-320b-2","fentanyl"
"ABCB1","hsa-mir-320b-2","glibenclamide"
"ABCB1","hsa-mir-320b-2","testosterone"
"ABCB1","hsa-mir-320b-2","codeine"
"ABCB1","hsa-mir-320b-2","carvedilol"
"ABCB1","hsa-mir-320b-2","dexamethasone"
"ABCB1","hsa-mir-320b-2","digoxin"
"ABCB1","hsa-mir-320b-2","dipyridamole"
"ABCB1","hsa-mir-320b-2","prednisone"
"ABCB1","hsa-mir-320b-2","midazolam"
"ABCB1","hsa-mir-320b-2","quinidine"
"ABCB1","hsa-mir-320b-2","fexofenadine"
"ABCB1","hsa-mir-320b-2","idarubicin"
"ABCB1","hsa-mir-320b-2","loperamide"
"ABCC1","hsa-mir-6508","glibenclamide"
"ABCC1","hsa-mir-6508","estradiol"
"ABCC1","hsa-mir-6508","docetaxel"
"ABCC1","hsa-mir-6508","indomethacin"
"ABCC1","hsa-mir-6508","imatinib"
"ABCC1","hsa-mir-6508","idarubicin"
"ABCC1","hsa-mir-6508","paclitaxel"
"ABCC1","hsa-mir-6508","cytarabine"
"ABCC1","hsa-mir-6508","mitoxantrone"
"ABCC1","hsa-mir-6508","glycine"
