ensembl_gene_id	miRNA_ID	MI
SH3TC2	hsa-mir-584	0.278774
KLF7	hsa-mir-2355	0.252692
MEST	hsa-mir-335	0.2488
MCM7	hsa-mir-25	0.230491
HOXA10	hsa-mir-196b	0.216589
SEC24B	hsa-mir-576	0.207125
ABLIM2	hsa-mir-95	0.202419
ATN1	hsa-mir-200c	0.198948
MRPL51	hsa-mir-141	0.192743
COPS7A	hsa-mir-200c	0.189557
MRPL51	hsa-mir-200c	0.188724
CLCN5	hsa-mir-532	0.18648
AOPEP	hsa-mir-27b	0.185237
PHB2	hsa-mir-141	0.183571
USP5	hsa-mir-200c	0.177608
XKR6	hsa-mir-598	0.176437
ATN1	hsa-mir-141	0.173609
FAM114A1	hsa-mir-574	0.171911
GNAI3	hsa-mir-197	0.170968
FXR2	hsa-mir-324	0.170306
PHB2	hsa-mir-200c	0.16844
HOXA11	hsa-mir-196b	0.167397
SNRPD2	hsa-mir-769	0.165211
MYPOP	hsa-mir-769	0.163709
MCM7	hsa-mir-93	0.161474
COPS7A	hsa-mir-141	0.161416
GEMIN7	hsa-mir-769	0.160813
R3HDM1	hsa-mir-128-2	0.15865
USP5	hsa-mir-141	0.155414
CCL13	hsa-mir-511	0.155249
ZNF644	hsa-mir-197	0.15368
AOPEP	hsa-mir-23b	0.153162
SPACA6	hsa-mir-125a	0.152095
DVL2	hsa-mir-324	0.152085
DERL3	hsa-mir-148a	0.151537
CPSF4	hsa-mir-93	0.151243
RNF130	hsa-mir-340	0.1503
CPSF4	hsa-mir-25	0.150018
CNTROB	hsa-mir-324	0.149726
WWP2	hsa-mir-140	0.149348
SPACA6	hsa-let-7e	0.149223
EMG1	hsa-mir-200c	0.148825
TUSC2	hsa-mir-191	0.148609
CDCA3	hsa-mir-141	0.147934
ERCC2	hsa-mir-769	0.147906
AP4M1	hsa-mir-25	0.147771
RHNO1	hsa-mir-200c	0.147656
NCAPD2	hsa-mir-141	0.147199
POLDIP2	hsa-mir-423	0.146329
C12orf57	hsa-mir-141	0.145962
ZNF394	hsa-mir-106b	0.145787
CDCA3	hsa-mir-200c	0.145747
LTBR	hsa-mir-200c	0.145118
CYP24A1	hsa-mir-99a	0.144813
POP7	hsa-mir-93	0.144454
MLF2	hsa-mir-200c	0.144133
NDUFA9	hsa-mir-200c	0.143154
NCAPD2	hsa-mir-200c	0.142889
ARHGAP28	hsa-mir-141	0.141753
R3HDM1	hsa-mir-128-1	0.141281
TOMM40	hsa-mir-769	0.140984
AMMECR1L	hsa-mir-128-1	0.140905
PRKRA	hsa-mir-128-1	0.140742
UBXN4	hsa-mir-128-1	0.14062
LPCAT3	hsa-mir-200c	0.140609
CTDNEP1	hsa-mir-324	0.139794
PEX5	hsa-mir-141	0.139212
RBX1	hsa-mir-33a	0.138835
ASNS	hsa-mir-3190	0.138748
MTSS1	hsa-mir-4662a	0.138594
PYROXD2	hsa-mir-1287	0.138584
ZNF384	hsa-mir-200c	0.138491
CPSF4	hsa-mir-106b	0.137865
CLCN5	hsa-mir-500a	0.137353
ELP5	hsa-mir-324	0.137261
ZRANB2	hsa-mir-186	0.136797
AMMECR1L	hsa-mir-128-2	0.136708
SAE1	hsa-mir-769	0.136494
ARPC1A	hsa-mir-106b	0.135966
NEURL4	hsa-mir-324	0.135043
CLPTM1	hsa-mir-769	0.134844
POP7	hsa-mir-25	0.134533
ANKRD13C	hsa-mir-186	0.134509
EMG1	hsa-mir-141	0.13412
LTBR	hsa-mir-141	0.134019
