ensembl_gene_id	miRNA_ID	MI
CSAD	hsa-mir-26b	0.299077
C14orf93	hsa-mir-224	0.27624
PIGF	hsa-mir-495	0.270713
MRRF	hsa-mir-548j	0.265048
CZIB	hsa-mir-501	0.264872
PLXNA3	hsa-mir-6503	0.257486
NCCRP1	hsa-mir-4668	0.257379
CLCN5	hsa-mir-532	0.25566
PIH1D2	hsa-mir-4714	0.25345
MMD2	hsa-mir-4726	0.252604
PTK2	hsa-mir-151a	0.252118
CSF1	hsa-mir-548o	0.251037
SLC26A1	hsa-mir-3616	0.250503
USP20	hsa-mir-2355	0.24914
PADI3	hsa-mir-1292	0.248788
RRAS2	hsa-mir-6882	0.246061
SLC35F3	hsa-mir-323b	0.245557
PPP1R3F	hsa-mir-1266	0.245328
FAM81B	hsa-mir-106b	0.244979
ADGRB1	hsa-mir-2115	0.244613
ST3GAL1	hsa-mir-1307	0.244417
ZNF584	hsa-mir-382	0.244302
IQSEC2	hsa-mir-629	0.243667
STK16	hsa-mir-548d-2	0.243367
HDAC11	hsa-mir-28	0.243192
OCM	hsa-mir-450a-2	0.242967
GDAP1L1	hsa-mir-935	0.240864
BFAR	hsa-mir-6509	0.240605
ZFAND4	hsa-mir-196a-2	0.238238
EPHA6	hsa-mir-487a	0.237119
PTRHD1	hsa-mir-5004	0.236946
SGPL1	hsa-mir-3127	0.23641
SCAMP3	hsa-mir-3157	0.236233
MRGPRE	hsa-mir-92b	0.235092
RPL37A	hsa-mir-6806	0.234874
TMEM170B	hsa-mir-1914	0.23475
AMACR	hsa-mir-548v	0.234566
WDR81	hsa-mir-7-3	0.234554
SLCO4A1	hsa-mir-147b	0.234527
CELSR3	hsa-mir-455	0.234241
ABLIM2	hsa-mir-1266	0.233848
DEF8	hsa-mir-5004	0.233421
CCDC32	hsa-mir-338	0.232997
PPWD1	hsa-mir-1226	0.232619
ZNF146	hsa-mir-363	0.231946
ANAPC4	hsa-mir-337	0.231537
PRSS35	hsa-mir-103a-1	0.231488
GRIK3	hsa-mir-493	0.231365
CDK13	hsa-mir-193b	0.231306
FAM177B	hsa-mir-5703	0.230964
LUZP4	hsa-mir-605	0.230907
CHMP5	hsa-mir-133b	0.230656
C6orf89	hsa-mir-3607	0.23031
CDH15	hsa-mir-103a-1	0.230183
FBN2	hsa-mir-4661	0.229551
ATP9B	hsa-let-7d	0.229481
CD59	hsa-mir-3065	0.229219
PHC1	hsa-mir-1226	0.228862
C4orf50	hsa-mir-769	0.228383
YWHAZ	hsa-mir-331	0.227812
SP7	hsa-mir-103a-1	0.226674
PRSS35	hsa-mir-103a-2	0.226562
LPP	hsa-mir-28	0.226401
PTH1R	hsa-mir-103a-1	0.226305
TENM3	hsa-mir-1537	0.226101
NANOG	hsa-mir-3940	0.225685
CLCC1	hsa-mir-664b	0.225627
GALP	hsa-mir-6514	0.225583
CNP	hsa-mir-15a	0.225368
ZFYVE16	hsa-mir-3680-2	0.224916
ST6GAL1	hsa-mir-3928	0.224735
QSOX2	hsa-mir-4664	0.224312
CDH15	hsa-mir-103a-2	0.224157
SP2	hsa-mir-642a	0.22366
CHL1	hsa-mir-30d	0.22329
VCPKMT	hsa-mir-675	0.222966
SNTA1	hsa-mir-335	0.222534
MAZ	hsa-mir-6716	0.222267
FBXL7	hsa-mir-486-2	0.221622
MRFAP1	hsa-mir-135b	0.221531
MRPL13	hsa-mir-191	0.220884
PCDHA13	hsa-mir-3200	0.220783
NCS1	hsa-mir-1976	0.220397
PCDHB16	hsa-mir-182	0.220369
SHC1	hsa-mir-331	0.220164
AP3D1	hsa-mir-222	0.220111
ZDHHC17	hsa-mir-182	0.219806
FAM167A	hsa-mir-34a	0.219581
RUNDC1	hsa-mir-1292	0.219474
ANKRD39	hsa-mir-134	0.219383
PTH1R	hsa-mir-103a-2	0.218939
TULP1	hsa-mir-3150a	0.21892
CORO1B	hsa-mir-511	0.218762
KHNYN	hsa-mir-25	0.218721
MSL3	hsa-mir-29b-2	0.218626
ENG	hsa-mir-10a	0.218151
FAM3A	hsa-mir-150	0.218127
ZSWIM4	hsa-mir-323b	0.218113
PDE7A	hsa-mir-486-2	0.217689
CYP2A7	hsa-mir-125b-1	0.217679
RETN	hsa-mir-1538	0.217637
SP7	hsa-mir-103a-2	0.217539
TJP1	hsa-mir-451a	0.21736
CPSF4	hsa-mir-548f-1	0.217209
ROPN1L	hsa-mir-106b	0.216933
PPP4R1	hsa-mir-130a	0.21685
TMEM117	hsa-mir-6877	0.21661
MIF4GD	hsa-mir-188	0.216495
IDUA	hsa-mir-181d	0.216412
KCTD15	hsa-mir-301a	0.216352
MTSS1	hsa-mir-4662a	0.216272
ATP2A3	hsa-mir-580	0.215899
AP5B1	hsa-mir-92b	0.215886
PDE10A	hsa-mir-6511b-1	0.215592
EPHA10	hsa-mir-181d	0.215464
KCNS3	hsa-mir-658	0.215423
PPIL1	hsa-mir-1976	0.215062
PPTC7	hsa-mir-30d	0.21496
ACRV1	hsa-mir-4665	0.214945
PRSS36	hsa-mir-18a	0.214934
KIF22	hsa-mir-4793	0.214899
SRRD	hsa-mir-301b	0.214882
SPDYE3	hsa-mir-93	0.214872
UBQLN2	hsa-mir-1227	0.214405
AFMID	hsa-mir-128-1	0.214315
CSAD	hsa-mir-22	0.214308
PLEKHH3	hsa-mir-548q	0.214272
AGBL4	hsa-mir-200c	0.214266
RBM44	hsa-mir-3651	0.214204
REPS2	hsa-mir-582	0.214142
RRAGA	hsa-mir-491	0.214017
ABCG4	hsa-mir-1537	0.213988
ZDHHC11	hsa-mir-204	0.213917
AKT2	hsa-mir-10a	0.213609
COX15	hsa-let-7d	0.213389
