ensembl_gene_id	miRNA_ID	MI
HOXB5	hsa-mir-10a	0.223748
HOXB4	hsa-mir-10a	0.218518
HOXB3	hsa-mir-10a	0.190107
HOXB6	hsa-mir-10a	0.188299
HOXD4	hsa-mir-10b	0.153328
MAP2K4	hsa-mir-744	0.137049
XKR6	hsa-mir-598	0.135021
CHM	hsa-mir-361	0.132534
PYROXD2	hsa-mir-1287	0.13197
C15orf48	hsa-mir-147b	0.130291
KLHL3	hsa-mir-874	0.129909
ZNF18	hsa-mir-744	0.123353
VEZT	hsa-mir-331	0.121631
FBXL7	hsa-mir-887	0.119593
AATK	hsa-mir-338	0.119388
FUT8	hsa-mir-625	0.117298
PIEZO2	hsa-mir-6788	0.115433
CNNM4	hsa-mir-3127	0.114877
ELP5	hsa-mir-324	0.112069
SLC25A11	hsa-mir-324	0.108816
LPP	hsa-mir-28	0.107636
WRAP53	hsa-mir-324	0.107063
MPDU1	hsa-mir-324	0.105574
HOXB2	hsa-mir-10a	0.105273
INPP5K	hsa-mir-324	0.104911
AOPEP	hsa-mir-27b	0.103075
AOPEP	hsa-mir-23b	0.101771
HOXD3	hsa-mir-10b	0.101752
ELAC2	hsa-mir-324	0.101462
SENP3	hsa-mir-324	0.100473
HOXA10	hsa-mir-196b	0.0979155
EVL	hsa-mir-342	0.097525
GLOD4	hsa-mir-324	0.0961922
C1QBP	hsa-mir-324	0.0959464
SCO1	hsa-mir-324	0.0952253
PSMB6	hsa-mir-324	0.09461
GABARAP	hsa-mir-324	0.0941716
ANKFY1	hsa-mir-324	0.0922164
EIF5A	hsa-mir-324	0.0917469
VPS53	hsa-mir-324	0.0910408
TMEM102	hsa-mir-324	0.0907594
PHF23	hsa-mir-324	0.0903206
CLDN7	hsa-mir-324	0.0899206
FXR2	hsa-mir-324	0.0896952
FGD6	hsa-mir-331	0.0893827
SREBF1	hsa-mir-33b	0.0884091
UBE2G1	hsa-mir-324	0.0882697
C1orf226	hsa-mir-556	0.0863947
SMYD4	hsa-mir-324	0.0862763
CACNG8	hsa-mir-935	0.0861379
CNTROB	hsa-mir-324	0.0857339
RPL26	hsa-mir-324	0.0846451
GOSR1	hsa-mir-423	0.0842599
RNF167	hsa-mir-324	0.0831332
DALRD3	hsa-mir-191	0.0830778
ABLIM2	hsa-mir-95	0.0830505
ELAC2	hsa-mir-744	0.0826712
HOXD8	hsa-mir-10b	0.0822568
DERL2	hsa-mir-324	0.0817367
VWA5B2	hsa-mir-1224	0.081151
TIMM22	hsa-mir-324	0.0810253
ZNF18	hsa-mir-324	0.080453
TLN2	hsa-mir-190a	0.079805
RPS6KA1	hsa-mir-1976	0.0797892
CTDNEP1	hsa-mir-324	0.079787
CTC1	hsa-mir-324	0.0788721
SPAG7	hsa-mir-324	0.0785399
MRM3	hsa-mir-324	0.0785316
TRAPPC1	hsa-mir-324	0.078172
RPA1	hsa-mir-324	0.0779646
RPAIN	hsa-mir-324	0.0779602
NANOS3	hsa-mir-181c	0.0777992
TXNDC17	hsa-mir-324	0.077328
CTNS	hsa-mir-324	0.0761006
GEMIN4	hsa-mir-324	0.0757314
MED11	hsa-mir-324	0.0752706
PLD2	hsa-mir-324	0.0751411
SIT1	hsa-mir-150	0.0747809
ZZEF1	hsa-mir-324	0.0746418
TMEM256	hsa-mir-324	0.074601
DHX33	hsa-mir-324	0.0740853
LLGL1	hsa-mir-1180	0.0740628
HOXA7	hsa-mir-196b	0.0739681
TLE3	hsa-mir-629	0.0738961
NSRP1	hsa-mir-423	0.0738865
TTC19	hsa-mir-324	0.0735821
CRK	hsa-mir-324	0.0733495
PRPSAP2	hsa-mir-324	0.0732208
AKAP10	hsa-mir-1180	0.0731328
CD3D	hsa-mir-150	0.0728987
DVL2	hsa-mir-324	0.0723409
PFAS	hsa-mir-324	0.0721685
DRG2	hsa-mir-1180	0.0717707
GPC1	hsa-mir-149	0.0715336
FCSK	hsa-mir-328	0.071174
S1PR4	hsa-mir-150	0.0710382
LTA	hsa-mir-150	0.0709399
PITPNA	hsa-mir-324	0.0706194
NCBP3	hsa-mir-324	0.0701711
COX10	hsa-mir-324	0.0700173
MAP2K4	hsa-mir-324	0.0700076
NUP88	hsa-mir-324	0.0698245
