ensembl_gene_id	miRNA_ID	MI
FBXL7	hsa-mir-887	0.244372
HOXB5	hsa-mir-10a	0.213339
FUT8	hsa-mir-625	0.209732
GOSR1	hsa-mir-423	0.182756
HOXB3	hsa-mir-10a	0.177377
HOXB4	hsa-mir-10a	0.168662
HOXD4	hsa-mir-10b	0.168356
PIEZO2	hsa-mir-6788	0.164807
CHM	hsa-mir-361	0.161511
LPP	hsa-mir-28	0.145249
C1orf226	hsa-mir-556	0.145101
AOPEP	hsa-mir-27b	0.143926
DVL2	hsa-mir-324	0.142841
HOXB6	hsa-mir-10a	0.138658
VWA5B2	hsa-mir-1224	0.137255
FAM184A	hsa-mir-548b	0.136529
SREBF2	hsa-mir-33a	0.136004
CPSF4	hsa-mir-25	0.133597
AOPEP	hsa-mir-23b	0.132312
XKR6	hsa-mir-598	0.131689
HOXB2	hsa-mir-10a	0.130796
ZNF74	hsa-mir-185	0.130572
GIPR	hsa-mir-642a	0.129435
MS4A6A	hsa-mir-223	0.128587
RNASE2	hsa-mir-223	0.128431
UGCG	hsa-mir-4668	0.128273
AATK	hsa-mir-338	0.128018
PMPCB	hsa-mir-25	0.126369
SKA2	hsa-mir-454	0.125822
ATP5MK	hsa-mir-1307	0.125016
TRIM8	hsa-mir-1307	0.124744
RNASE6	hsa-mir-223	0.12325
VEZT	hsa-mir-331	0.122838
HIC2	hsa-mir-130b	0.12249
NSRP1	hsa-mir-423	0.122366
TIAL1	hsa-mir-1307	0.122143
TEFM	hsa-mir-423	0.122128
CLEC4D	hsa-mir-337	0.121237
RIC8A	hsa-mir-210	0.121016
CHFR	hsa-mir-2110	0.120156
DPT	hsa-mir-181a-1	0.119929
ATAD5	hsa-mir-423	0.118502
CTR9	hsa-mir-210	0.118233
SOD1	hsa-mir-135b	0.118119
KLHL3	hsa-mir-874	0.118096
ELP5	hsa-mir-324	0.117993
SMNDC1	hsa-mir-1307	0.117633
XPNPEP1	hsa-mir-1307	0.117401
TRAPPC14	hsa-mir-93	0.117358
CLCN5	hsa-mir-532	0.117268
DDX52	hsa-mir-423	0.116944
DENND3	hsa-mir-4420	0.116854
BET1L	hsa-mir-210	0.116214
TRAPPC14	hsa-mir-25	0.116186
NNAT	hsa-mir-23a	0.116021
APOOL	hsa-mir-361	0.115515
CASS4	hsa-mir-708	0.115081
KL	hsa-mir-509-3	0.114936
CASP7	hsa-mir-1307	0.114852
PUS1	hsa-mir-2110	0.114739
MTMR8	hsa-let-7g	0.114626
FAM133A	hsa-mir-1260b	0.114548
PDF	hsa-mir-410	0.1142
HOXA10	hsa-mir-196b	0.114172
ARL10	hsa-mir-1271	0.113193
FAM160A2	hsa-mir-210	0.113009
RRP8	hsa-mir-210	0.112935
POLL	hsa-mir-1307	0.112925
