"Drug"	"CID"	"ATC"	"miRNA"	"Gene"
"abacavir"	"CID100001971"	"J05"	"miR-454"	"TNF"
"abacavir"	"CID100001971"	"J05"	"miR-301b"	"TNF"
"abacavir"	"CID100001971"	"J05"	"miR-130b"	"TNF"
"abacavir"	"CID100001971"	"J05"	"miR-451"	"ABCB1"
"abacavir"	"CID100001971"	"J05"	"miR-181a"	"TNF"
"abacavir"	"CID100001971"	"J05"	"miR-146a"	"LTB"
"abacavir"	"CID100001971"	"J05"	"miR-19a"	"TNF"
"abacavir"	"CID100001971"	"J05"	"miR-181c"	"TNF"
"abacavir"	"CID100001971"	"J05"	"miR-200c"	"ABCB1"
"abacavir"	"CID100001971"	"J05"	"miR-331-5p"	"ABCB1"
"abacavir"	"CID100001971"	"J05"	"miR-301a"	"TNF"
"abacavir"	"CID100001971"	"J05"	"miR-27a"	"ABCB1"
"abacavir"	"CID100001971"	"J05"	"miR-181d"	"TNF"
"abacavir"	"CID100001971"	"J05"	"miR-181b"	"TNF"
"abacavir"	"CID100001971"	"J05"	"miR-19b"	"TNF"
"abacavir"	"CID100001971"	"J05"	"miR-130a"	"TNF"
"abacavir"	"CID100001971"	"J05"	"miR-221"	"ABCB1"
"abacavir"	"CID100001971"	"J05"	"miR-222"	"ABCB1"
"acebutolol"	"CID100001978"	"C07"	"miR-374a"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-302b"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-30b"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-141"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-520e"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-374b"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-520c-3p"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-373"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-137"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"let-7g"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-98"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"let-7b"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-19a"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-302a"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-144"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-30a"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-302c"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-200a"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"let-7d"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"let-7a"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-520d-3p"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"let-7i"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-30d"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-302d"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"let-7c"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-30c"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-218"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-302e"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-19b"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-372"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-92a"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-25"	"ADRB1"
"acebutolol"	"CID100001978"	"C07"	"miR-202"	"ADRB1"
